epoch,loss
1,1.0724023580551147
2,0.9421592652797699
3,1.0427541732788086
4,0.9303505122661591
5,1.0235483348369598
6,0.9282007217407227
7,1.1454465091228485
8,0.7868382781744003
9,1.0476648807525635
10,1.050387978553772
11,0.8884801864624023
12,1.2001292705535889
13,1.0747590959072113
14,1.1061828136444092
15,1.2021677792072296
16,1.0104068517684937
17,1.1987334191799164
18,0.8843070268630981
19,1.031434178352356
20,0.937239795923233
21,1.1469963788986206
22,1.0128975212574005
23,1.0463846325874329
24,0.9105618894100189
25,1.0242944955825806
26,0.7927074730396271
27,1.2011104822158813
28,0.912730872631073
29,0.9534836411476135
30,0.8971205055713654
31,1.0864765644073486
32,1.093141496181488
33,1.0606637597084045
34,1.0453868508338928
35,1.1467513144016266
36,1.17108553647995
37,0.9800856113433838
38,1.0191679000854492
39,0.8852341771125793
40,1.1458086371421814
41,0.7770083248615265
42,1.0300645232200623
43,1.0315392017364502
44,1.0437322854995728
45,1.019209861755371
46,0.9705618619918823
47,1.0816726982593536
48,0.9241911172866821
49,0.9705575406551361
50,0.8550469875335693
51,0.8818842768669128
52,0.8653818070888519
53,0.9019938707351685
54,0.8724409639835358
55,1.0612387955188751
56,0.8518853783607483
57,0.9446062743663788
58,0.8677165806293488
59,1.053383231163025
60,0.908320963382721
61,0.8047374039888382
62,0.8746521472930908
63,1.2173326313495636
64,1.2309687435626984
65,0.8882619440555573
66,0.7705487683415413
67,1.0655507445335388
68,1.0702573657035828
69,0.7964460179209709
70,1.02577343583107
71,0.9821142554283142
72,0.9014273881912231
73,0.9072586894035339
74,0.9214811325073242
75,0.9469574689865112
76,0.9035571217536926
77,1.171021580696106
78,0.7959417253732681
79,1.1525442600250244
80,1.0197755098342896
81,0.9252963662147522
82,1.026296079158783
83,1.0958248376846313
84,0.907392293214798
85,0.9536211788654327
86,1.1079773902893066
87,1.1144622564315796
88,1.0209993720054626
89,0.8624001145362854
90,1.1308699250221252
91,0.8996660709381104
92,0.809201255440712
93,0.916455090045929
94,1.0251458585262299
95,1.0165899395942688
96,0.8352601230144501
97,0.9158738851547241
98,1.018993318080902
99,1.0125761032104492
100,1.0629420280456543
101,1.12531179189682
102,0.8628468215465546
103,0.7726324871182442
104,1.1297459602355957
105,0.8752610981464386
106,0.8977987766265869
107,0.9150523543357849
108,0.9991668462753296
109,0.8934994041919708
110,1.041048675775528
111,1.1831180453300476
112,1.1721144318580627
113,0.824591726064682
114,0.9802286326885223
115,0.8754087090492249
116,0.8912510573863983
117,0.9008474349975586
118,1.0004525184631348
119,1.065250188112259
120,0.9915451109409332
121,0.9954712688922882
122,1.0825124382972717
123,1.006676584482193
124,0.9193887114524841
125,1.0439872741699219
126,0.9396268427371979
127,0.7730573117733002
128,0.9505753815174103
129,0.954533576965332
130,0.7669848650693893
131,0.75743518024683
132,1.0430921912193298
133,1.0971287786960602
134,0.8698478639125824
135,0.8122288435697556
136,1.0134731829166412
137,0.8539870977401733
138,0.7266463935375214
139,0.8507890701293945
140,0.9253568947315216
141,0.9042497873306274
142,0.8532199859619141
143,0.8072727620601654
144,1.0689895451068878
145,0.9269471764564514
146,0.8615211844444275
147,0.8775205016136169
148,0.9477909505367279
149,1.0099451541900635
150,0.9222167432308197
151,0.7913620173931122
152,1.0077421963214874
153,0.7837459444999695
154,1.1027927994728088
155,0.9173977077007294
156,0.9365623593330383
157,0.8399443626403809
158,0.9010946452617645
159,0.8924905955791473
160,1.0424427688121796
161,0.9881699681282043
162,0.830078661441803
163,0.8982158005237579
164,0.8721532225608826
165,0.8768405020236969
166,1.0181452631950378
167,0.8929436206817627
168,0.9786715507507324
169,0.9681499004364014
170,1.065410315990448
171,0.9466955363750458
172,0.7522847056388855
173,0.9316897988319397
174,0.9471699893474579
175,0.799364447593689
176,0.7906107157468796
177,0.8448900729417801
178,0.7944572269916534
179,1.0225094556808472
180,0.8203169107437134
181,0.932923436164856
182,0.9160231351852417
183,1.168189823627472
184,0.9671362936496735
185,0.8223631978034973
186,0.960094541311264
187,0.8455119729042053
188,0.8704929947853088
189,0.8836057484149933
190,0.7000273317098618
191,0.9385943412780762
192,0.7993673384189606
193,0.861817330121994
194,1.0677313208580017
195,0.8888494074344635
196,0.9334784150123596
197,1.0155221223831177
198,0.7478891313076019
199,0.8923566341400146
200,0.8852345943450928
